#         E                     Re Gloc                    Im Gloc
-8.000000000000000000e+00 -1.750165016808198915e-01 0.000000000000000000e+00
-7.983983983983984345e+00 -1.761418532986164798e-01 -3.839494759852422889e-03
-7.967967967967968690e+00 -1.753602782050251718e-01 -4.045749497262258673e-03
-7.951951951951951258e+00 -1.760147387747643122e-01 -5.382497034517445302e-03
-7.935935935935935603e+00 -1.764756696252404167e-01 -6.388384689337946523e-03
-7.919919919919919948e+00 -1.768722234196140608e-01 -6.629127846879388081e-03
-7.903903903903904293e+00 -1.763794351600215249e-01 -7.079726082363621727e-03
-7.887887887887888638e+00 -1.773616125590611048e-01 -6.008993217226450169e-03
-7.871871871871871207e+00 -1.790091270042005189e-01 -7.386569929671258326e-03
-7.855855855855855552e+00 -1.792132348753424642e-01 -8.084534181288554472e-03
-7.839839839839839897e+00 -1.792388791511007606e-01 -8.298593076056428458e-03
-7.823823823823824242e+00 -1.812032003396899238e-01 -8.008538710680117995e-03
-7.807807807807808587e+00 -1.801134566033686102e-01 -9.617917225977636042e-03
-7.791791791791791155e+00 -1.822061383231331211e-01 -9.405452530462581756e-03
-7.775775775775775500e+00 -1.818431832796378322e-01 -1.045430489445398417e-02
-7.759759759759759845e+00 -1.822970089680180927e-01 -1.083364341767554043e-02
-7.743743743743744190e+00 -1.828098902413363980e-01 -1.115790354214167730e-02
-7.727727727727728535e+00 -1.835892471038408913e-01 -1.172093263861727699e-02
-7.711711711711711104e+00 -1.841746232427310670e-01 -1.250677924105182172e-02
-7.695695695695695449e+00 -1.841978692493595748e-01 -1.258538418450019097e-02
-7.679679679679679793e+00 -1.848178187768099445e-01 -1.216129200639214959e-02
-7.663663663663664138e+00 -1.859443959570095117e-01 -1.263436465302847367e-02
-7.647647647647648483e+00 -1.869786646805342012e-01 -1.418054346473142380e-02
-7.631631631631631052e+00 -1.862920823470443632e-01 -1.405822925990256149e-02
-7.615615615615615397e+00 -1.875542565196429146e-01 -1.331224965591941770e-02
-7.599599599599599742e+00 -1.885895768098248548e-01 -1.367967027294634923e-02
-7.583583583583584087e+00 -1.894014373326576850e-01 -1.425615487444287059e-02
-7.567567567567568432e+00 -1.901710088866569448e-01 -1.494942752297808222e-02
-7.551551551551551000e+00 -1.908789147373985418e-01 -1.563712622922645845e-02
-7.535535535535535345e+00 -1.918718167130664676e-01 -1.555568481117115473e-02
-7.519519519519519690e+00 -1.926586771952159827e-01 -1.608200655669033557e-02
-7.503503503503504035e+00 -1.931211426119248675e-01 -1.703774965681031234e-02
-7.487487487487488380e+00 -1.945560817542095200e-01 -1.783121065230315605e-02
-7.471471471471470949e+00 -1.945279363536840667e-01 -1.842805594872235289e-02
-7.455455455455455294e+00 -1.942490941954540529e-01 -1.859401115818618347e-02
-7.439439439439439639e+00 -1.948846986366735146e-01 -1.846455956433708245e-02
-7.423423423423423984e+00 -1.969071128680986993e-01 -1.904885395538247206e-02
-7.407407407407408328e+00 -1.985985607086937499e-01 -2.011812912602616715e-02
-7.391391391391390897e+00 -1.982537662275804247e-01 -2.168303619385678407e-02
-7.375375375375375242e+00 -1.988753633487402306e-01 -2.114567845394011575e-02
-7.359359359359359587e+00 -1.999254403253428181e-01 -2.234537118269188521e-02
-7.343343343343343932e+00 -2.013685152867275285e-01 -2.261819778662807826e-02
-7.327327327327326500e+00 -2.012839476979393638e-01 -2.441748515015608467e-02
-7.311311311311310845e+00 -2.007533014929533399e-01 -2.589218038211890324e-02
-7.295295295295295190e+00 -2.020076116123326604e-01 -2.580405695337005534e-02
-7.279279279279279535e+00 -2.011959185942992223e-01 -2.470995752286934966e-02
-7.263263263263263880e+00 -2.041267659349613461e-01 -2.452881667986171049e-02
-7.247247247247246449e+00 -2.046222462280476995e-01 -2.599095227943420267e-02
-7.231231231231230794e+00 -2.055903872254903897e-01 -2.711290168343935547e-02
-7.215215215215215139e+00 -2.061776247710485066e-01 -2.847261500074035195e-02
-7.199199199199199484e+00 -2.059635122728606382e-01 -2.791428267513136607e-02
-7.183183183183183829e+00 -2.073769421911526856e-01 -2.847527442336750952e-02
-7.167167167167166397e+00 -2.071547987543022884e-01 -2.993288260104926685e-02
-7.151151151151150742e+00 -2.083299354675107184e-01 -3.050681546779638112e-02
-7.135135135135135087e+00 -2.088396671672239358e-01 -3.036502653395094231e-02
-7.119119119119119432e+00 -2.104817758635788016e-01 -3.182393965223666299e-02
-7.103103103103103777e+00 -2.097127402138955210e-01 -3.236623200281933677e-02
-7.087087087087086346e+00 -2.112779457743949596e-01 -3.192092272120131136e-02
-7.071071071071070691e+00 -2.126456298167015424e-01 -3.186973383529270731e-02
-7.055055055055055035e+00 -2.135051794389498103e-01 -3.411878627959256949e-02
-7.039039039039039380e+00 -2.123605167632632851e-01 -3.471084112788582615e-02
-7.023023023023023725e+00 -2.151436264160231648e-01 -3.529854841309049140e-02
-7.007007007007006294e+00 -2.158089455446871030e-01 -3.732532240388630740e-02
-6.990990990990990639e+00 -2.156198877200252439e-01 -3.770100253917922639e-02
-6.974974974974974984e+00 -2.167563558456986339e-01 -3.854975483327462149e-02
-6.958958958958959329e+00 -2.152393996959269806e-01 -3.919317089442762164e-02
-6.942942942942943674e+00 -2.176898450989592504e-01 -3.870074862552963513e-02
-6.926926926926926242e+00 -2.205329994326498122e-01 -3.991413375187535112e-02
-6.910910910910910587e+00 -2.197162998511570098e-01 -4.066627476885396886e-02
-6.894894894894894932e+00 -2.212036037485121398e-01 -4.082566503764281651e-02
-6.878878878878879277e+00 -2.242550711132379471e-01 -4.295197736032872055e-02
